-0.03,0.06,0.11
-0.04,0.05,0.01
-0.04,0.06,0.07
-0.04,0.05,0.00
-0.06,0.06,0.11
-0.06,0.05,0.05
-0.03,0.03,0.09
-0.04,0.04,0.01
-0.04,0.06,0.06
-0.05,0.09,0.02
-0.04,0.04,0.07
-0.04,0.05,0.07
-0.05,0.06,0.00
-0.04,0.05,0.06
-0.03,0.04,0.01
-0.03,0.05,0.08
-0.03,0.07,0.02
-0.03,0.05,-0.02
-0.04,0.02,0.09
-0.02,0.07,0.03
-0.02,0.05,0.10
-0.03,0.06,0.03
-0.04,0.05,0.08
-0.03,0.04,0.04
-0.03,0.06,0.04
-0.05,0.04,0.08
-0.04,0.04,0.02
-0.02,0.05,0.07
-0.06,0.07,-0.01
-0.05,0.03,0.10
-0.03,0.06,-0.01
-0.03,0.05,0.09
-0.03,0.04,0.01
-0.03,0.04,0.06
-0.04,0.08,0.03
-0.07,0.05,0.07
-0.08,0.02,0.02
-0.05,0.02,0.04
-0.04,0.07,0.04
-0.05,0.07,0.04
-0.03,0.05,0.03
-0.02,0.03,0.05
-0.03,0.06,0.06
-0.06,0.12,0.08
-0.02,0.00,0.05
0.00,0.00,-0.11
-0.04,0.05,0.08
-0.07,0.03,-0.02
-0.07,0.04,0.09
-0.03,0.02,-0.05
-0.03,0.00,0.01
-0.05,0.05,0.01
-0.05,0.08,0.10
-0.01,0.10,0.04
-0.04,0.09,0.13
-0.03,0.14,0.08
-0.02,0.23,0.25
0.00,0.22,0.20
0.00,0.50,0.30
0.03,0.46,0.16
1.69,1.69,-1.66
0.64,0.23,-0.55
0.71,1.87,-0.06
1.06,2.59,0.39
1.64,3.46,0.44
2.51,3.63,-0.18
3.16,3.76,-0.96
3.80,4.21,-1.93
2.65,6.38,-1.98
0.96,6.14,-2.41
3.73,6.82,-1.20
7.33,8.43,-0.03
8.40,4.83,0.37
8.79,-2.28,1.44
10.52,-1.85,1.77
11.78,-2.00,1.64
12.01,-2.00,2.00
10.64,-2.21,2.20
8.75,0.12,1.76
6.46,3.04,0.90
4.99,4.48,0.53
0.97,7.68,0.27
-4.99,9.21,0.40
-7.20,8.55,-0.46
-8.38,7.04,-0.72
-9.50,4.79,0.86
-9.31,2.52,1.75
-7.85,2.23,-0.31
-7.50,2.51,-1.65
-7.59,-0.21,0.82
-7.42,-0.61,1.15
-6.03,-0.10,0.43
-4.81,-0.04,-0.10
-3.55,-0.66,-0.77
-2.66,-0.55,-1.03
-1.80,-1.26,-0.46
-0.66,-0.59,-0.77
-0.80,0.19,-1.23
6.38,-8.83,0.32
1.64,4.54,4.83
-0.54,7.81,3.47
-2.89,1.65,0.35
0.19,-1.95,-1.47
-0.72,0.42,-0.01
-0.18,0.05,0.05
-0.12,0.07,0.05
-0.08,0.16,0.06
0.00,0.21,0.11
-0.02,-0.12,-0.25
-0.04,0.04,0.11
0.02,-0.16,-0.17
-0.04,0.03,0.02
-0.02,0.12,0.05
-0.02,0.10,0.14
0.01,0.11,0.08
-0.10,0.10,0.18
-0.08,-0.05,0.00
-0.04,0.02,0.03
-0.07,-0.03,0.03
0.07,0.08,0.00
0.00,0.03,0.06
-0.02,0.08,0.00
-0.04,0.00,-0.05
0.03,0.08,0.00
0.04,0.08,0.07
-0.01,0.11,0.09
0.04,0.12,0.14
0.13,0.32,0.20
0.16,0.34,0.30
0.34,-0.21,-1.06
0.66,1.18,-0.21
1.80,2.28,-0.23
1.50,5.87,1.37
2.74,5.20,1.15
4.89,6.59,-0.47
6.01,6.28,-2.00
2.99,8.03,-1.52
2.02,8.54,-2.17
6.50,13.49,0.00
13.33,-4.00,-1.62
13.58,-0.46,0.95
11.61,1.64,1.26
10.80,-1.87,1.93
9.63,-1.57,2.04
8.10,-1.43,1.36
6.81,-0.19,0.55
5.76,0.99,0.13
2.33,2.86,-0.26
-2.40,4.73,0.70
-4.89,4.85,1.27
-7.08,4.80,0.78
-7.56,4.35,0.30
-7.99,4.10,-1.61
-7.98,4.26,-2.44
-7.92,2.83,-2.23
-7.63,1.32,-1.76
-8.28,0.58,-1.53
-8.22,1.27,-0.94
-8.68,0.83,0.29
-8.47,0.08,1.07
-5.87,0.68,0.16
-4.19,-0.68,0.23
3.03,0.26,1.52
3.08,-1.23,2.22
-2.13,7.15,2.31
-5.00,1.99,0.01
0.38,-0.45,-0.18
-0.73,0.01,-0.29
-0.40,0.06,0.02
-0.09,0.30,0.19
-0.10,0.11,0.15
0.01,0.19,0.07
0.04,0.15,0.06
0.06,0.12,0.02
0.01,-0.03,0.00
-0.01,0.07,0.00
-0.07,0.00,0.06
-0.03,-0.17,-0.24
-0.11,-0.17,-0.09
-0.13,-0.12,-0.08
0.00,0.14,0.10
-0.02,0.14,0.15
-0.01,0.04,0.00
-0.02,0.02,0.00
0.00,-0.03,-0.10
0.02,0.01,-0.04
0.02,0.16,0.02
0.07,0.13,0.11
0.01,0.09,0.07
0.06,0.11,0.04
0.00,0.14,0.06
0.06,0.11,0.02
0.07,0.28,0.12
0.39,-0.02,-0.51
1.46,2.98,-0.14
0.54,1.58,0.46
0.62,2.97,1.23
1.18,3.25,1.02
1.73,4.00,0.98
2.99,4.20,-0.35
3.84,5.38,-0.39
4.95,5.99,-2.18
1.13,10.14,-2.09
3.09,9.86,-2.37
8.72,15.05,-0.41
7.08,-9.21,-2.46
12.55,3.65,0.73
11.60,-1.08,1.50
11.38,-2.50,2.21
10.81,-2.45,2.29
7.50,-0.97,1.32
4.63,1.11,0.27
0.24,4.09,-0.77
-1.76,3.78,-1.07
-4.48,4.47,-1.35
-5.95,4.85,-1.84
-7.02,4.05,-1.88
-7.89,3.34,-1.75
-7.85,3.44,-1.43
-7.57,3.09,-0.85
-7.46,1.74,-0.16
-7.70,1.02,-0.44
-7.31,1.42,-0.67
-6.73,0.84,-0.16
-5.55,0.00,0.72
-4.68,0.13,1.02
-3.09,-0.38,0.71
-2.89,-0.16,0.02
-3.76,0.42,0.00
-4.07,-0.66,0.10
-3.71,0.94,-0.46
-4.08,2.02,-1.11
4.47,-7.08,0.49
-3.67,17.79,9.99
-5.92,10.01,5.38
0.53,4.16,3.99
-0.52,0.52,0.20
-0.23,-0.43,-0.47
-0.01,-0.22,-0.20
0.07,0.22,0.00
0.00,0.22,0.16
0.02,0.11,0.04
0.02,0.05,0.02
0.01,-0.06,-0.05
-0.04,-0.14,-0.08
0.08,0.05,0.01
0.04,0.09,-0.01
0.08,0.07,0.02
0.00,0.00,-0.14
-0.02,0.00,0.08
-0.03,0.07,0.05
0.03,0.14,0.14
0.04,0.05,-0.01
0.03,0.04,0.06
-0.01,0.05,0.04
-0.01,0.00,0.01
0.13,0.05,-0.01
0.03,0.07,0.03
0.02,0.05,0.03
0.03,0.06,0.09
0.08,0.01,-0.01
0.11,0.16,0.05
0.19,0.25,0.10
0.20,0.34,0.10
0.63,0.00,-0.76
1.67,3.73,-0.91
1.42,2.89,0.64
1.26,4.25,1.55
3.29,5.51,0.15
5.91,7.26,-1.73
6.01,7.30,-2.94
1.42,10.00,-2.03
11.93,7.97,0.22
13.74,-17.56,-0.13
10.35,0.93,1.69
10.19,-0.49,1.32
10.50,-2.47,1.34
10.40,-2.57,1.09
9.47,-2.07,0.72
7.31,-1.45,0.29
