-0.07,-0.19,-0.03
-0.05,-0.23,-0.18
-0.03,-0.23,-0.15
-0.03,-0.18,-0.16
-0.02,-0.22,-0.12
-0.02,-0.23,-0.20
-0.05,-0.23,-0.17
-0.03,-0.26,-0.24
-0.02,-0.22,-0.16
-0.02,-0.24,-0.18
-0.02,-0.22,-0.07
-0.03,-0.22,-0.17
-0.01,-0.22,-0.21
0.00,-0.25,-0.15
-0.02,-0.24,-0.27
0.00,-0.26,-0.13
-0.02,-0.25,-0.26
-0.02,-0.25,-0.13
0.00,-0.24,-0.21
0.00,-0.25,-0.10
-0.01,-0.25,-0.25
-0.01,-0.25,-0.09
0.00,-0.24,-0.23
0.00,-0.23,-0.12
0.00,-0.24,-0.22
0.00,-0.24,-0.14
-0.02,-0.23,-0.22
0.00,-0.25,-0.13
-0.01,-0.23,-0.19
0.00,-0.24,-0.12
0.00,-0.22,-0.17
0.00,-0.24,-0.10
-0.01,-0.24,-0.11
0.00,-0.23,-0.15
-0.02,-0.25,-0.13
-0.02,-0.23,-0.13
0.00,-0.23,-0.13
0.02,-0.24,-0.09
0.00,-0.25,-0.15
0.00,-0.22,-0.12
0.00,-0.25,-0.15
0.00,-0.26,-0.12
0.01,-0.22,-0.15
0.02,-0.23,-0.15
0.01,-0.24,-0.14
0.00,-0.23,-0.12
0.00,-0.23,-0.10
0.00,-0.24,-0.12
0.02,-0.24,-0.14
0.02,-0.21,-0.14
0.00,-0.23,-0.14
0.04,-0.24,-0.10
0.03,-0.24,-0.10
0.00,-0.23,-0.12
0.01,-0.19,-0.08
0.01,-0.20,-0.05
0.02,-0.22,-0.12
0.00,-0.19,-0.11
0.03,-0.21,-0.08
0.05,-0.25,-0.13
0.02,-0.22,-0.09
-0.01,-0.19,-0.01
0.04,-0.25,-0.17
0.02,-0.20,-0.08
0.09,-0.20,-0.15
0.04,-0.20,-0.04
0.10,-0.15,-0.11
0.07,-0.13,-0.05
-0.03,-0.11,0.03
0.00,-0.10,-0.07
0.06,-0.34,-0.23
0.09,-0.41,-0.24
0.10,-0.24,0.03
0.08,-0.30,-0.22
0.11,-0.41,-0.38
0.02,-0.17,-0.11
0.09,-0.30,-0.22
0.10,-0.29,-0.06
0.09,-0.23,-0.12
0.06,-0.28,-0.15
0.02,-0.24,-0.07
0.04,-0.20,-0.11
0.05,-0.16,-0.05
0.05,-0.12,0.08
0.09,-0.23,-0.12
0.12,-0.21,-0.06
0.11,-0.22,-0.04
-0.02,-0.17,-0.11
-0.02,-0.21,-0.10
0.06,-0.18,-0.04
0.06,-0.16,-0.01
0.00,-0.20,-0.11
0.00,-0.22,-0.18
0.00,-0.15,-0.01
